allegiance,baseSize,battlefieldRole,description,faction,id,modelUpgrades,models,name,points,specialRuleValues,specialRules,traits,upgrades,wargear
Universal,2,Command,A Hermes Lead leading a command section with Hermes Pathfinders.,solar-auxilia,hermes-command-section,"{""hermes-lead-model"":[""hermes-lead-weapon-upgrade-group""],""hermes-pathfinder-model"":[""hermes-pathfinder-weapon-upgrade-group""]}","{""hermes-lead-model"":1,""hermes-pathfinder-model"":1}",Hermes Command Section,75,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Scout Tercio""]","[""additional-hermes-pathfinders-upgrade""]","[]"
Universal,1,War Engine,A squadron of heavily armed and armored walkers designed for heavy support and anti-armor operations.,solar-auxilia,aethon-heavy-sentinel,"{""aethon-heavy-sentinel-model"":[""aethon-heavy-sentinel-multi-laser-upgrade-group"",""aethon-heavy-sentinel-missile-battery-upgrade-group""]}","{""aethon-heavy-sentinel-model"":1}",Aethon Heavy Sentinel Squadron,60,,"[]","[""[Allegiance]"",""Solar Auxilia""]","[""additional-aethon-heavy-sentinels-upgrade""]","[]"
Universal,1,Transport,A light transport aircraft designed for rapid deployment and extraction of troops.,solar-auxilia,arvus-lighter,"{""arvus-lighter-model"":[""arvus-lighter-hull-weapon-upgrade-group"",""arvus-lighter-wargear-upgrade-group""]}","{""arvus-lighter-model"":1}",Arvus Lighter,75,,"[]","[""[Allegiance]"",""Solar Auxilia""]","[]","[]"
Universal,1,Transport,A heavily armored transport vehicle designed for troop deployment and battlefield support.,solar-auxilia,dracosan-armoured-transport,"{""dracosan-model"":[""dracosan-hull-weapon-upgrade-group"",""dracosan-pintle-weapon-upgrade-group"",""dracosan-hunter-killer-missile-upgrade-group"",""dracosan-wargear-upgrade-group""]}","{""dracosan-model"":1}",Dracosan Armoured Transport,140,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Smokescreen""]","[]","[]"
Universal,5,Command,A First Prime leading a veletaris command section with Veletarii.,solar-auxilia,veletaris-command-section,"{""first-prime-model"":[""first-prime-weapon-upgrade-group"",""first-prime-tabar-upgrade-group"",""first-prime-pistol-options""],""veletarii-model"":[""veletarii-weapon-upgrade-group"",""veletarii-sabre-upgrade-group"",""veletarii-pistol-options"",""veletarii-weapon-additions"",""veletarii-wargear-options""]}","{""first-prime-model"":1,""veletarii-model"":4}",Veletaris Command Section,75,"{""vanguard"":3}","[""vanguard""]","[""[Allegiance]"",""Solar Auxilia"",""Veletaris Tercio""]","[""additional-veletarii-upgrade""]","[]"
Universal,10,Elite,A Veletarii Prime leading a veletaris storm section with Veletarii.,solar-auxilia,veletaris-storm-section,"{""veletarii-prime-model"":[""veletarii-prime-weapon-upgrade-group"",""veletarii-prime-tabar-upgrade-group"",""veletarii-prime-pistol-options""],""veletarii-model"":[""veletarii-weapon-upgrade-group"",""veletaris-storm-vox-upgrade-group"",""veletaris-storm-vexilla-upgrade-group""]}","{""veletarii-prime-model"":1,""veletarii-model"":9}",Veletaris Storm Section,90,"{""vanguard"":3}","[""vanguard""]","[""[Allegiance]"",""Solar Auxilia""]","[""additional-veletaris-storm-veletarii-upgrade""]","[]"
Universal,10,Elite,A Veletarii Prime leading a veletaris vanguard section with Veletarii.,solar-auxilia,veletaris-vanguard-section,"{""veletarii-vanguard-prime-model"":[""veletarii-vanguard-prime-weapon-upgrade-group"",""veletarii-vanguard-prime-tabar-upgrade-group"",""veletarii-vanguard-prime-pistol-options""],""veletarii-vanguard-model"":[""veletaris-vanguard-vox-upgrade-group"",""veletaris-vanguard-vexilla-upgrade-group""]}","{""veletarii-vanguard-prime-model"":1,""veletarii-vanguard-model"":9}",Veletaris Vanguard Section,100,"{""vanguard"":3}","[""vanguard"",""implacable-advance""]","[""[Allegiance]"",""Solar Auxilia""]","[""additional-veletaris-vanguard-veletarii-upgrade""]","[]"
Universal,3,Elite,A unit of Charonite Ogryns equipped with charonite claws for close combat.,solar-auxilia,charonite-ogryn-section,"{""charonite-ogryn-model"":[]}","{""charonite-ogryn-model"":3}",Charonite Ogryn Section,120,,"[]","[""[Allegiance]"",""Solar Auxilia""]","[""additional-charonite-ogryn-upgrade""]","[]"
Universal,2,Support,A squadron of Hermes Veletaris Sentinels equipped with volkite calivers.,solar-auxilia,hermes-veletaris-squadron,"{""hermes-veletaris-sentinel-model"":[""hermes-veletaris-sentinel-weapon-upgrade-group""]}","{""hermes-veletaris-sentinel-model"":2}",Hermes Veletaris Squadron,40,,"[]","[""[Allegiance]"",""Solar Auxilia""]","[""additional-hermes-veletaris-sentinels-upgrade""]","[]"
Universal,1,Support,A heavy artillery tank equipped with an earthshaker cannon for long-range bombardment.,solar-auxilia,basilisk-artillery-tank,"{""basilisk-model"":[""basilisk-pintle-weapon-upgrade-group"",""basilisk-wargear-upgrade-group""]}","{""basilisk-model"":1}",Basilisk Artillery Tank,120,,"[]","[""[Allegiance]"",""Solar Auxilia"",""Smokescreen""]","[]","[]"
